Price,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Last Sold Year,Last Sold For,Address,City,State,Zipcode,Address Full
180000.0,1648.0,-86.04686,39.654587,13503.6,4.0,2.0,1982.0,2019.0,125000.0," 7808 Gordon Way Indianapolis, IN 46237 ",Indianapolis,IN,46237.0,"7808 Gordon Way, Indianapolis, IN 46237"
379000.0,1600.0,-76.62962,39.3303,1120.0,3.0,4.0,1900.0,2007.0,175000.0," 3514 Chestnut Ave Baltimore, MD 21211 ",Baltimore,MD,21211.0,"3514 Chestnut Ave, Baltimore, MD 21211"
19900.0,2268.0,-87.9263,43.081432,6969.0,3.0,2.0,1906.0,2019.0,125000.0," 1207 W Keefe Ave #1207A Milwaukee, WI 53206 ",Milwaukee,WI,53206.0,"1207 W Keefe Ave #1207A, Milwaukee, WI 53206"
265000.0,2244.0,-89.814476,35.232395,43560.0,4.0,4.0,1988.0,2018.0,226000.0," 7459 3rd Rd Memphis, TN 38135 ",Memphis,TN,38135.0,"7459 3rd Rd, Memphis, TN 38135"
515000.0,1684.0,-73.758514,40.603874,4096.0,6.0,3.0,1925.0,2006.0,422940.0," 6 Hollywood Ct Far Rockaway, NY 11691 ",Far Rockaway,NY,11691.0,"6 Hollywood Ct, Far Rockaway, NY 11691"
488900.0,1521.0,-122.61428,45.534973,5000.0,2.0,1.0,1937.0,2019.0,125000.0," 1637 NE 48th Ave Portland, OR 97213 ",Portland,OR,97213.0,"1637 NE 48th Ave, Portland, OR 97213"
950000.0,2310.0,-122.383224,47.5645,3075.0,3.0,4.0,2005.0,2005.0,474950.0," 4403 40th Ave SW Seattle, WA 98116 ",Seattle,WA,98116.0,"4403 40th Ave SW, Seattle, WA 98116"
99900.0,2015.0,-97.24985,37.674046,15681.599999999999,2.0,2.0,1952.0,2019.0,125000.0," 745 S Armour St Wichita, KS 67207 ",Wichita,KS,67207.0,"745 S Armour St, Wichita, KS 67207"
177000.0,1529.0,-98.36386,29.578169,5619.0,3.0,3.0,1985.0,2019.0,125000.0," 14911 Tropical Storm San Antonio, TX 78233 ",San Antonio,TX,78233.0,"14911 Tropical Storm, San Antonio, TX 78233"
223000.0,2559.0,-98.661385,29.541819,7275.0,4.0,3.0,2000.0,2019.0,125000.0," 10210 Wilderness Gap San Antonio, TX 78254 ",San Antonio,TX,78254.0,"10210 Wilderness Gap, San Antonio, TX 78254"
